Fecha (UTC),Latitud [ยบ],Longitud [ยบ],Profundidad [km],Magnitud [*]
2021-06-27 21:50:55,-27.26,-70.28,89,3.6
2022-01-13 23:24:10,-27.48,-70.43,80,4
2021-06-11 12:21:13,-28.18,-70.33,105,3.9
2019-12-20 08:31:55,-26.39,-70.44,54,4
2021-05-23 13:23:11,-28.7,-70.38,92,4.1
2021-05-30 07:54:19,-28.66,-70.44,88,3.6
2020-07-07 03:21:24,-27.57,-70.25,94,3.5
2022-02-25 05:10:55,-28.7,-70.35,101,5.2
2022-05-27 05:37:18,-26.44,-70.4,88,5.3
2015-10-29 10:28:21,-28.78,-70.19,91,4
2015-12-16 00:35:59,-27.28,-70.0,104,4.1
2016-01-14 00:29:40,-28.65,-70.08,110,4.2
2016-11-17 18:30:43,-28.39,-70.47,82,4.3
2016-12-01 00:21:41,-28.74,-70.22,105,4
2016-04-03 06:02:04,-28.98,-70.16,108,4.7
2016-04-16 06:05:23,-26.49,-70.04,73,5.3
2016-07-25 17:26:49,-26.11,-70.48,60,6
2016-10-05 06:17:25,-29.29,-70.31,108,4.6
2016-10-11 12:52:06,-28.39,-70.47,80,4.2
2016-10-26 12:18:03,-27.72,-70.16,88,4.2
2016-11-30 17:51:28,-28.74,-70.5,89,4.1
2017-12-02 09:30:23,-28.41,-70.19,112,4.2
2017-05-01 19:43:47,-29.31,-70.33,84,4.1
2017-04-11 13:39:43,-27.64,-70.05,82,5.3
2017-06-23 00:43:40,-27.5,-70.53,57,4
2017-10-09 06:13:32,-27.84,-70.09,98,4.1
2017-10-10 01:56:24,-27.72,-70.21,75,4
2017-12-19 13:14:36,-26.05,-70.43,55,4.7
2018-09-22 13:14:01,-26.07,-70.49,39,5.3
2018-12-07 09:44:18,-29.01,-70.36,97,4.8
2018-09-07 02:39:17,-28.91,-70.17,97,6.1
2018-04-14 05:35:28,-28.36,-70.21,96,4
2018-03-10 05:00:37,-27.19,-70.23,90,4.4
2018-04-15 13:16:02,-28.98,-70.2,115,4.5
2019-03-14 17:59:48,-27.99,-70.05,90,3.7
2018-08-24 19:16:22,-27.55,-70.19,91,3.4
2019-04-07 15:30:08,-28.43,-70.12,88,3.7
2019-01-14 20:14:48,-27.05,-70.16,98,3.9
2019-07-12 17:08:37,-27.63,-70.21,88,3.6
2020-07-22 22:25:11,-27.3,-70.08,99,4.9
2019-09-01 14:50:08,-27.48,-70.26,101,4.3
2020-03-02 17:10:58,-27.67,-70.34,88,3.8
2018-10-31 07:05:25,-27.65,-70.35,76,3.7
2020-06-13 13:19:22,-27.73,-70.36,90,3.7
2020-06-17 05:22:49,-27.1,-70.46,28,3.4
2019-03-13 02:11:01,-28.64,-70.4,88,4
2019-02-04 07:25:46,-28.49,-70.48,111,4
2018-07-20 11:29:43,-27.61,-70.27,88,4
2018-09-02 18:12:11,-28.33,-70.51,79,4.5
2018-12-23 12:46:16,-27.48,-70.25,96,4.3
2019-06-05 16:19:42,-27.41,-70.23,91,5.4
